Date,Bike_rented,Temp,Humidity,Visibility_Miles,Wind_Speed_MPH,Events_num
21/05/2016 00:00,70,13,56,9,3,3
22/05/2016 00:00,238,15,70,10,9,3
23/05/2016 00:00,84,15,69,10,6,3
24/05/2016 00:00,54,16,70,10,3,3
25/05/2016 00:00,88,15,72,10,4,3
26/05/2016 00:00,40,14,67,10,9,3
27/05/2016 00:00,88,13,67,10,7,3
28/05/2016 00:00,150,13,78,10,9,3
29/05/2016 00:00,177,14,76,9,7,3
30/05/2016 00:00,264,15,59,10,4,3
31/05/2016 00:00,103,18,54,10,2,3
01/06/2016 00:00,136,18,61,10,4,3
02/06/2016 00:00,136,17,75,10,10,3
03/06/2016 00:00,151,20,60,10,3,3
04/06/2016 00:00,210,22,39,10,5,3
05/06/2016 00:00,300,25,46,10,2,3
06/06/2016 00:00,177,23,46,10,3,3
07/06/2016 00:00,161,22,46,10,4,3
08/06/2016 00:00,100,16,62,10,7,3
09/06/2016 00:00,112,15,67,10,7,3
10/06/2016 00:00,73,14,73,10,8,3
11/06/2016 00:00,320,14,79,10,6,3
12/06/2016 00:00,262,16,57,10,4,3
13/06/2016 00:00,101,15,67,10,7,3
14/06/2016 00:00,67,12,73,10,10,3
15/06/2016 00:00,149,13,63,10,7,3
16/06/2016 00:00,210,16,58,10,7,3
17/06/2016 00:00,203,15,69,10,3,3
18/06/2016 00:00,169,15,79,10,5,3
19/06/2016 00:00,314,14,63,10,7,3
20/06/2016 00:00,170,18,67,10,5,7
21/06/2016 00:00,125,17,74,10,9,3
22/06/2016 00:00,117,18,61,10,4,3
23/06/2016 00:00,66,16,87,8,7,3
24/06/2016 00:00,138,15,80,10,7,3
25/06/2016 00:00,329,17,68,10,6,3
26/06/2016 00:00,251,19,63,10,4,3
27/06/2016 00:00,113,22,55,10,4,3
28/06/2016 00:00,141,18,75,10,6,3
29/06/2016 00:00,150,18,80,10,5,3
30/06/2016 00:00,156,18,73,10,5,3
01/07/2016 00:00,173,18,73,10,3,3
02/07/2016 00:00,426,20,70,10,4,3
03/07/2016 00:00,380,17,72,10,5,3
04/07/2016 00:00,473,16,72,10,7,3
05/07/2016 00:00,90,17,72,10,5,3
06/07/2016 00:00,122,18,63,10,3,3
07/07/2016 00:00,123,17,78,10,6,3
08/07/2016 00:00,229,18,82,9,6,3
09/07/2016 00:00,274,17,75,10,6,3
10/07/2016 00:00,255,18,72,10,3,3
11/07/2016 00:00,243,17,68,10,7,3
12/07/2016 00:00,184,20,64,10,3,3
13/07/2016 00:00,185,20,59,10,4,3
14/07/2016 00:00,245,18,62,10,5,3
15/07/2016 00:00,233,18,60,10,3,3
16/07/2016 00:00,271,18,62,10,6,3
17/07/2016 00:00,284,21,60,10,2,3
18/07/2016 00:00,185,19,69,10,4,3
19/07/2016 00:00,140,21,59,10,5,3
20/07/2016 00:00,147,22,54,10,3,3
21/07/2016 00:00,223,21,57,10,4,3
22/07/2016 00:00,125,18,73,9,7,3
23/07/2016 00:00,314,18,64,10,4,3
24/07/2016 00:00,324,20,58,10,4,3
25/07/2016 00:00,180,22,56,10,3,3
26/07/2016 00:00,179,21,69,10,4,3
27/07/2016 00:00,193,21,60,10,5,3
28/07/2016 00:00,192,22,56,10,5,3
29/07/2016 00:00,175,23,53,10,3,3
30/07/2016 00:00,298,19,63,10,6,3
31/07/2016 00:00,273,17,62,10,8,3
01/08/2016 00:00,206,18,70,10,5,3
02/08/2016 00:00,155,17,66,10,6,3
03/08/2016 00:00,142,18,62,10,6,3
04/08/2016 00:00,143,20,58,10,5,3
05/08/2016 00:00,293,21,56,10,4,3
06/08/2016 00:00,296,17,62,10,6,3
07/08/2016 00:00,245,18,69,10,4,3
08/08/2016 00:00,180,17,69,10,4,3
09/08/2016 00:00,166,18,70,10,3,3
10/08/2016 00:00,229,20,67,10,2,3
11/08/2016 00:00,195,21,63,10,4,3
12/08/2016 00:00,228,23,56,10,3,3
13/08/2016 00:00,352,25,52,10,2,3
14/08/2016 00:00,330,21,51,10,4,3
15/08/2016 00:00,155,22,57,10,2,3
16/08/2016 00:00,163,20,62,10,2,3
17/08/2016 00:00,162,21,56,10,4,3
18/08/2016 00:00,217,22,57,10,8,3
19/08/2016 00:00,139,15,48,10,8,3
20/08/2016 00:00,311,25,44,10,3,3
21/08/2016 00:00,232,18,68,10,8,3
22/08/2016 00:00,165,17,64,10,8,3
23/08/2016 00:00,126,19,58,10,7,3
